k_clusters,svm_c,mean_accuracy,mean_precision,mean_recall,mean_f1
50,10.0,0.528409090909091,0.5236898541695973,0.5711971243753139,0.545133790272569
50,50.0,0.525,0.5268612259103895,0.56176829156745,0.536970851903559
100,1.0,0.5102272727272728,0.5136358792019093,0.5441304687941559,0.5230630553330456
100,10.0,0.5102272727272726,0.5129382528906017,0.5300232167689346,0.5167940201365158
50,1.0,0.4954545454545455,0.4984521022168745,0.543996227650481,0.5164221526764662
100,50.0,0.5022727272727272,0.503941528043952,0.5318000654754933,0.5146488326073407
150,50.0,0.49090909090909085,0.4913257575757576,0.521196011728796,0.5018764243990868
150,10.0,0.49318181818181817,0.4975828991270168,0.5095431760092113,0.4986645616043175
150,1.0,0.4920454545454545,0.4943125877395803,0.5010009381726221,0.48714287850914584
